time,product,region,count
1/1/2021 1:28,110,N,1
1/1/2021 4:22,110,N,3
1/1/2021 6:21,110,N,1
1/1/2021 9:10,110,N,2
1/1/2021 10:39,110,N,0
1/1/2021 11:22,110,N,1
1/1/2021 12:40,110,N,1
1/1/2021 13:37,110,N,0
1/1/2021 13:58,110,N,0
1/1/2021 15:46,110,N,0
1/1/2021 17:32,110,N,0
1/1/2021 20:13,110,N,1
1/1/2021 21:07,110,N,1
1/1/2021 22:07,110,N,0
1/2/2021 7:42,110,N,2
1/2/2021 11:25,110,N,1
1/2/2021 12:19,110,N,0
1/2/2021 15:04,110,N,0
1/2/2021 16:41,110,N,2
1/2/2021 21:43,110,N,0
1/3/2021 0:20,110,N,3
1/3/2021 1:00,110,N,1
1/3/2021 2:15,110,N,3
1/3/2021 6:38,110,N,1
1/3/2021 9:08,110,N,1
1/3/2021 17:06,110,N,2
1/3/2021 22:09,110,N,2
1/4/2021 7:40,110,N,2
1/4/2021 10:15,110,N,1
1/4/2021 12:53,110,N,1
1/4/2021 15:13,110,N,3
1/4/2021 15:50,110,N,2
1/4/2021 18:07,110,N,0
1/4/2021 19:00,110,N,0
1/4/2021 22:45,110,N,2
1/5/2021 5:54,110,N,2
1/5/2021 8:04,110,N,0
1/5/2021 9:34,110,N,0
1/5/2021 10:17,110,N,1
1/5/2021 12:46,110,N,0
1/5/2021 14:16,110,N,2
1/5/2021 20:55,110,N,2
1/5/2021 22:51,110,N,2
1/5/2021 22:52,110,N,1
1/6/2021 0:53,110,N,0
1/6/2021 3:54,110,N,0
1/6/2021 4:00,110,N,0
1/6/2021 4:34,110,N,0
1/6/2021 7:38,110,N,2
1/6/2021 9:57,110,N,1
1/6/2021 9:58,110,N,3
1/6/2021 10:22,110,N,1
1/6/2021 13:59,110,N,0
1/6/2021 14:09,110,N,1
1/6/2021 14:36,110,N,0
1/6/2021 14:55,110,N,0
1/6/2021 15:48,110,N,1
1/6/2021 16:35,110,N,1
1/6/2021 17:53,110,N,2
1/6/2021 19:55,110,N,1
1/6/2021 22:03,110,N,0
1/7/2021 4:22,110,N,0
1/7/2021 8:52,110,N,2
1/7/2021 9:36,110,N,1
1/7/2021 11:40,110,N,1
1/7/2021 15:50,110,N,1
1/7/2021 18:59,110,N,1
1/7/2021 19:10,110,N,1
1/7/2021 19:44,110,N,0
1/7/2021 20:50,110,N,3
1/7/2021 21:12,110,N,2
1/7/2021 21:17,110,N,2
1/8/2021 0:02,110,N,2
1/8/2021 3:38,110,N,2
1/8/2021 4:13,110,N,1
1/8/2021 4:41,110,N,3
1/8/2021 4:49,110,N,1
1/8/2021 7:38,110,N,2
1/8/2021 10:17,110,N,1
1/8/2021 10:26,110,N,0
1/8/2021 10:36,110,N,2
1/8/2021 10:51,110,N,3
1/8/2021 12:10,110,N,2
1/8/2021 12:55,110,N,1
1/8/2021 17:29,110,N,1
1/8/2021 18:17,110,N,0
1/8/2021 20:33,110,N,3
1/8/2021 22:23,110,N,2
1/9/2021 1:15,110,N,0
1/9/2021 4:16,110,N,1
1/9/2021 7:58,110,N,2
1/9/2021 8:58,110,N,1
1/9/2021 10:20,110,N,1
1/9/2021 12:43,110,N,0
1/9/2021 12:51,110,N,0
1/9/2021 22:54,110,N,2
1/10/2021 4:43,110,N,2
1/10/2021 10:11,110,N,0
1/10/2021 13:47,110,N,0
1/10/2021 16:04,110,N,0
1/10/2021 20:18,110,N,0
1/10/2021 22:22,110,N,1
1/11/2021 6:05,110,N,2
1/11/2021 8:32,110,N,0
1/11/2021 11:09,110,N,1
1/11/2021 14:13,110,N,1
1/11/2021 20:33,110,N,4
1/11/2021 21:45,110,N,0
1/11/2021 21:51,110,N,0
1/11/2021 23:08,110,N,2
1/12/2021 0:13,110,N,1
1/12/2021 17:16,110,N,0
1/12/2021 18:50,110,N,0
1/12/2021 21:02,110,N,0
1/12/2021 23:08,110,N,0
1/13/2021 0:12,110,N,1
1/13/2021 4:00,110,N,2
1/13/2021 5:37,110,N,1
1/13/2021 8:25,110,N,1
1/13/2021 9:52,110,N,1
1/13/2021 11:09,110,N,0
1/13/2021 11:22,110,N,1
1/13/2021 12:58,110,N,0
1/13/2021 15:01,110,N,0
1/13/2021 19:18,110,N,0
1/14/2021 2:00,110,N,0
1/14/2021 2:24,110,N,1
1/14/2021 3:10,110,N,0
1/14/2021 7:16,110,N,0
1/14/2021 8:54,110,N,1
1/14/2021 11:27,110,N,1
1/14/2021 14:09,110,N,2
1/14/2021 20:51,110,N,0
1/14/2021 22:03,110,N,2
1/14/2021 23:31,110,N,0
1/14/2021 23:51,110,N,1
1/15/2021 2:00,110,N,2
1/15/2021 5:15,110,N,0
1/15/2021 8:00,110,N,1
1/15/2021 10:54,110,N,1
1/15/2021 11:17,110,N,1
1/15/2021 11:59,110,N,0
1/15/2021 13:03,110,N,0
1/15/2021 17:32,110,N,2
1/15/2021 18:05,110,N,1
